STATE,ABBREV,FIPS,Light Trucks Registrations (HS MV-9) Pickups,Light Trucks Registrations (HS MV-9) SUVs
Alabama,AL,1,1337244,1204619
Alaska,AK,2,239843,231283
Arizona,AZ,4,1090138,1298241
Arkansas,AR,5,798329,634116
California,CA,6,4228674,6603054
Colorado,CO,8,940318,1561689
Connecticut,CT,9,291501,808714
Delaware,DE,10,137121,258855
District of Columbia,DC,11,11537,68530
Florida,FL,12,2220978,3895881
Georgia,GA,13,1585575,1924330
Hawaii,HI,15,257388,298519
Idaho,ID,16,523566,428748
Illinois,IL,17,1279182,2799799
Indiana,IN,18,1121981,1370405
Iowa,IA,19,838226,789521
Kansas,KS,20,632924,572814
Kentucky,KY,21,953598,903778
Louisiana,LA,22,1080096,887720
Maine,ME,23,238173,270399
Maryland,MD,24,491387,1039869
Massachusetts,MA,25,538636,1490757
Michigan,MI,26,1364528,2285123
Minnesota,MN,27,940605,1309389
Mississippi,MS,28,558883,434197
Missouri,MO,29,1183509,1251685
Montana,MT,30,475279,338587
Nebraska,NE,31,452017,445954
Nevada,NV,32,415858,603512
New Hampshire,NH,33,216662,343077
New Jersey,NJ,34,466103,1653316
New Mexico,NM,35,493759,403956
New York,NY,36,1038517,3109351
North Carolina,NC,37,1535784,1857678
North Dakota,ND,38,252864,193706
Ohio,OH,39,1606405,2489289
Oklahoma,OK,40,644997,636756
Oregon,OR,41,747369,842868
Pennsylvania,PA,42,1458419,2780867
Rhode Island,RI,44,94685,217969
South Carolina,SC,45,819077,980482
South Dakota,SD,46,272231,223598
Tennessee,TN,47,1206972,1292684
Texas,TX,48,5183476,5651021
Utah,UT,49,430137,529923
Vermont,VT,50,131190,176324
Virginia,VA,51,1152392,1818035
Washington,WA,53,1260598,1575762
West Virginia,WV,54,404744,417731
Wisconsin,WI,55,920786,1297317
Wyoming,WY,56,279927,201878
