Vehicle,Year,MPG
SHORT WB,2015,23.8566064
MOTORCYCLES,2015,43.77595135
BUSES,2015,7.284278502
LONG WB,2015,17.34079967
SINGLE-UNIT TRUCKS,2015,7.380037579
COMBINATION TRUCKS,2015,5.893747409
ALL LIGHT DUTY VEHICLES,2015,21.97931347
TRUCKS,2015,6.39841068
ALL VEHICLES,2015,17.90464718
SHORT WB,2016,23.956898
MOTORCYCLES,2016,43.89267206
BUSES,2016,7.345469877
LONG WB,2016,17.39756049
SINGLE-UNIT TRUCKS,2016,7.389125326
COMBINATION TRUCKS,2016,5.906245908
ALL LIGHT DUTY VEHICLES,2016,22.03846502
TRUCKS,2016,6.412896247
ALL VEHICLES,2016,17.94553075
