State,Private and Commercial Agricultural ,Private and Commercial Aviation ,Private and Commercial Industrial and Commercial,Private and Commercial Construction,Private and Commercial Recreational Boating ,Public Use Federal Civ Highway,Public Use SCM Highway,Public Use SCM Nonhighway
Alabama,,,,,,,,
Alaska,,,,,,,,
Arizona,,,,,,,,
Arkansas,,,,,,,,
California,,,,,,,,
Colorado,,,,,,,,
Connecticut,,,,,,,,
Delaware,,,,,,,,
District of Columbia,,,,,,,,
Florida,,,,,,,,
Georgia,,,,,,,,
Hawaii,,,,,,,,
Idaho,,,,,,,,
Illinois,,,,,,,,
Indiana,,,,,,,,
Iowa,,,,,,,,
Kansas,,,,,,,,
Kentucky,,,,,,,,
Louisiana,,,,,,,,
Maine,,,,,,,,
Maryland,,,,,,,,
Massachusetts,,,,,,,,
Michigan,,,,,,,,
Minnesota,,,,,,,,
Mississippi,,,,,,,,
Missouri,,,,,,,,
Montana,,,,,,,,
Nebraska,,,,,,,,
Nevada,,,,,,,,
New Hampshire,,,,,,,,
New Jersey,,,,,,,,
New Mexico,,,,,,,,
New York,,,,,,,,
North Carolina,,,,,,,,
North Dakota,,,,,,,,
Ohio,,,,,,,,
Oklahoma,,,,,,,,
Oregon,,,,,,,,
Pennsylvania,,,,,,,,
Rhode Island,,,,,,,,
South Carolina,,,,,,,,
South Dakota,,,,,,,,
Tennessee,,,,,,,,
Texas,,,,,,,,
Utah,,,,,,,,
Vermont,,,,,,,,
Virginia,,,,,,,,
Washington,,,,,,,,
West Virginia,,,,,,,,
Wisconsin,,,,,,,,
Wyoming,,,,,,,,
